disease,treatment
High Blood Pressure,"High blood pressure is treated with lifestyle changes and medicines. Treatment can help control blood pressure, but it will not cure high blood pressure, even if your blood pressure readings appear normal. If you stop treatment, your blood pressure and risk for related health problems will rise. For a healthy future, follow your treatment plan closely. Work with your health care team for lifelong blood pressure control.In most cases, the goal is probably to keep your blood pressure below 140/90 mmHg (130/80 if you have diabetes or chronic kidney disease). Normal blood pressure is less than 120/80. Ask your doctor what your blood pressure goal should be. If you have high blood pressure, you will need to treat it and control it for life. This means making lifestyle changes, and, in some cases, taking prescribed medicines, and getting ongoing medical care.Today, many different types of medicines are available to control high blood pressure. These medicines work in different ways. Some lower blood pressure by removing extra fluid and salt from your body. Others affect blood pressure by slowing down the heartbeat, or by relaxing and widening blood vessels. Often, two or more drugs work better than one. Here are the types of medicines used to treat high blood pressure. -   Diuretics (water or fluid Pills)  flush excess sodium from your body, which reduces the amount of fluid in your blood and helps to lower your blood pressure. Diuretics are often used with other high blood pressure medicines, sometimes in one combined pill.   -  Beta Blockers help your heart beat slower and with less force. As a result, your heart pumps less blood through your blood vessels, which can help to lower your blood pressure.  -  Angiotensin-Converting Enzyme (ACE) Inhibitors. Angiotensin-II is a hormone that narrows blood vessels, increasing blood pressure. ACE converts Angiotensin I to Angiotensin II. ACE inhibitors block this process, which stops the production of Angiotensin II, lowering blood pressure.  -  Angiotensin II Receptor Blockers (ARBs) block angiotensin II hormone from binding with receptors in the blood vessels. When angiotensin II is blocked, the blood vessels do not constrict or narrow, which can lower your blood pressure.  -  Calcium Channel Blockers keep calcium from entering the muscle cells of your heart and blood vessels. This allows blood vessels to relax, which can lower your blood pressure.   -  Alpha Blockers reduce nerve impulses that tighten blood vessels. This allows blood to flow more freely, causing blood pressure to go down.  -  Alpha-Beta Blockers reduce nerve impulses the same way alpha blockers do. However, like beta blockers, they also slow the heartbeat. As a result, blood pressure goes down.  -  Central Acting Agents act in the brain to decrease nerve signals that narrow blood vessels, which can lower blood pressure.  -  Vasodilators relax the muscles in blood vessel walls, which can lower blood pressure.   Diuretics (water or fluid Pills)  flush excess sodium from your body, which reduces the amount of fluid in your blood and helps to lower your blood pressure. Diuretics are often used with other high blood pressure medicines, sometimes in one combined pill. Beta Blockers help your heart beat slower and with less force. As a result, your heart pumps less blood through your blood vessels, which can help to lower your blood pressure. Angiotensin-Converting Enzyme (ACE) Inhibitors. Angiotensin-II is a hormone that narrows blood vessels, increasing blood pressure. ACE converts Angiotensin I to Angiotensin II. ACE inhibitors block this process, which stops the production of Angiotensin II, lowering blood pressure. Angiotensin II Receptor Blockers (ARBs) block angiotensin II hormone from binding with receptors in the blood vessels. When angiotensin II is blocked, the blood vessels do not constrict or narrow, which can lower your blood pressure. Calcium Channel Blockers keep calcium from entering the muscle cells of your heart and blood vessels. This allows blood vessels to relax, which can lower your blood pressure. Alpha Blockers reduce nerve impulses that tighten blood vessels. This allows blood to flow more freely, causing blood pressure to go down. Alpha-Beta Blockers reduce nerve impulses the same way alpha blockers do. However, like beta blockers, they also slow the heartbeat. As a result, blood pressure goes down. Central Acting Agents act in the brain to decrease nerve signals that narrow blood vessels, which can lower blood pressure. Vasodilators relax the muscles in blood vessel walls, which can lower blood pressure.Based on your diagnosis, health care providers develop treatment plans for high blood pressure that include lifelong lifestyle changes and medicines to control high blood pressure; lifestyle changes such as weight loss can be highly effective in treating high blood pressure.
                

                
Treatment Plans
                
Health care providers work with you to develop a treatment plan based on whether you were diagnosed with primary or secondary high blood pressure and if there is a suspected or known cause. Treatment plans may evolve until blood pressure control is achieved.
                
If your health care provider diagnoses you with secondary high blood pressure, he or she will work to treat the other condition or change the medicine suspected of causing your high blood pressure. If high blood pressure persists or is first diagnosed as primary high blood pressure, your treatment plan will include lifestyle changes. When lifestyle changes alone do not control or lower blood pressure, your health care provider may change or update your treatment plan by prescribing medicines to treat the disease. Health care providers prescribe children and teens medicines at special doses that are safe and effective in children.
                
If your health care provider prescribes medicines as a part of your treatment plan, keep up your healthy lifestyle habits. The combination of the medicines and the healthy lifestyle habits helps control and lower your high blood pressure.
                
Some people develop resistant or uncontrolled high blood pressure. This can happen when the medications they are taking do not work well for them or another medical condition is leading to uncontrolled blood pressure. Health care providers treat resistant or uncontrolled high blood pressure with an intensive treatment plan that can include a different set of blood pressure medications or other special treatments.
                
To achieve the best control of your blood pressure, follow your treatment plan and take all medications as prescribed. Following your prescribed treatment plan is important because it can prevent or delay complications that high blood pressure can cause and can lower your risk for other related problems.
                

                
Healthy Lifestyle Changes
                
Healthy lifestyle habits can help you control high blood pressure. These habits include:
                
Healthy eating
                
Being physically active
                
Maintaining a healthy weight
                
Limiting alcohol intake
                
Managing and coping with stress
                
To help make lifelong lifestyle changes, try making one healthy lifestyle change at a time and add another change when you feel that you have successfully adopted the earlier changes. When you practice several healthy lifestyle habits, you are more likely to lower your blood pressure and maintain normal blood pressure readings.
                

                
Healthy Eating
                
To help treat high blood pressure, health care providers recommend that you limit sodium and salt intake, increase potassium, and eat foods that are heart healthy.
                
Limiting Sodium and Salt
                
A low-sodium diet can help you manage your blood pressure. You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300 mg sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Your health care provider may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about the DASH eating plan.
                
Heart-Healthy Eating
                
Your health care provider also may recommend heart-healthy eating, which should include:
                
Whole grains
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Vegetables, such as broccoli, cabbage, and carrots
                
Legumes, such as kidney beans, lentils, chick peas, black-eyed peas, and lima beans
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
In the National Heart, Lung, and Blood Institute (NHLBI)-sponsored Hispanic Community Health Study/Study of Latinos, which studied Hispanics living in the United States, Cubans ate more sodium and Mexicans ate less sodium than other Hispanic groups in the study. All Hispanic Americans should follow these healthy eating recommendations even when cooking traditional Latino dishes. Try some of these popular Hispanic American heart-healthy recipes.
                

                
Being Physically Active
                
Routine physical activity can lower high blood pressure and reduce your risk for other health problems. Talk with your health care provider before you start a new exercise plan. Ask him or her how much and what kinds of physical activity are safe for you.
                
Everyone should try to participate in moderate-intensity aerobic exercise at least 2 hours and 30minutes per week, or vigorous-intensity aerobic exercise for 1 hour and 15 minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats harder and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10 minutes at a time, spread throughout the week.
                
Read more about physical activity:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services'2008 Physical Activity Guidelines for Americans
                

                
Maintaining a Healthy Weight
                
Maintaining a healthy weight can help you control high blood pressure and reduce your risk for other health problems. If youre overweight or obese, try to lose weight. A loss of just 3 to 5 percent can lower your risk for health problems. Greater amounts of weight loss can improve blood pressure readings, lowerLDL cholesterol, and increase HDL cholesterol. However, research shows that no matter your weight, it is important to control high blood pressure to maintain good health.
                
A useful measure of overweight and obesity is body mass index (BMI). BMI measures your weight in relation to your height. To figure out your BMI, check out NHLBIs online BMI calculator or talk to yourhealth care provider.
                
A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the healthy range.
                
Between 25 and 29.9 is considered overweight.
                
Of 30 or more is considered obese.
                
A general goal to aim for is a BMI below 25. Your health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type 2 diabetes. This risk may be high with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk. For more information about losing weight or maintaining your weight, go to Aim for a Healthy Weight.
                

                
Limiting Alcohol Intake
                
Limit alcohol intake. Too much alcohol will raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weight gain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is:
                
12 ounces of beer
                
5 ounces of wine
                
1 ounces of liquor
                
Managing and Coping With Stress
                
Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health and can lower high blood pressure. Stress management techniques include:
                
Being physically active
                
Listening to music or focusing on something calm or peaceful
                
Performing yoga or tai chi
                
Meditating
                

                
Medicines
                
Blood pressure medicines work in different ways to stop or slow some of the bodys functions that cause high blood pressure. Medicines to lower blood pressure include:
                
Diuretics (Water or Fluid Pills): Flush excess sodium from your body, which reduces the amount of fluid in your blood and helps to lower your blood pressure. Diuretics are often used with other high blood pressure medicines, sometimes in one combined pill.
                
Beta Blockers: Help your heart beat slower and with less force. As a result, your heart pumps less blood through your blood vessels, which can help to lower your blood pressure.
                
Angiotensin-Converting Enzyme (ACE) Inhibitors: Angiotensin-II is a hormone that narrows blood vessels, increasing blood pressure. ACE converts Angiotensin I to Angiotensin II. ACE inhibitors block this process, which stops the production of Angiotensin II, lowering blood pressure.
                
Angiotensin II Receptor Blockers (ARBs): Block angiotensin II hormone from binding with receptors in the blood vessels. When angiotensin II is blocked, the blood vessels do not constrict or narrow, which can lower your blood pressure.
                
Calcium Channel Blockers: Keep calcium from entering the muscle cells of your heart and blood vessels. This allows blood vessels to relax, which can lower your blood pressure.
                
Alpha Blockers: Reduce nerve impulses that tighten blood vessels. This allows blood to flow more freely, causing blood pressure to go down.
                
Alpha-Beta Blockers: Reduce nerve impulses the same way alpha blockers do. However, like beta blockers, they also slow the heartbeat. As a result, blood pressure goes down.
                
Central Acting Agents: Act in the brain to decrease nerve signals that narrow blood vessels, which can lower blood pressure.
                
Vasodilators: Relax the muscles in blood vessel walls, which can lower blood pressure.
                
To lower and control blood pressure, many people take two or more medicines. If you have side effects from your medicines, dont stop taking your medicines. Instead, talk with your health care provider about the side effects to see if the dose can be changed or a new medicine prescribed.
                
Future Treatments
                
Scientists, doctors, and researchers continue to study the changes that cause high blood pressure, to develop new medicines and treatments to control high blood pressure. Possible future treatments under investigation include new combination medicines, vaccines, and interventions aimed at the sympathetic nervous system, such as kidney nerve ablation."
Holes in the Heart,"Many holes in the heart don't need treatment, but some do. Those that do often are repaired during infancy or early childhood. Sometimes adults are treated for holes in the heart if problems develop.
                
The treatment your child receives depends on the type, location, and size of the hole. Other factors include your child's age, size, and general health.
                
Treating an Atrial Septal Defect
                
If a child has an atrial septal defect (ASD), routine checkups are done to see whether it closes on its own. About half of all ASDs close on their own over time, and about 20 percent close within the first year of life.
                
Your child's doctor will let you know how often your child should have checkups. For an ASD, frequent checkups aren't needed.
                
If an ASD requires treatment, catheter or surgical procedures are used to close the hole. Doctors often decide to close ASDs in children who still have medium- or large-sized holes by the time they're 2 to 5 years old.
                
Catheter Procedure
                
Until the early 1990s, surgery was the usual method for closing all ASDs. Now, thanks to medical advances, doctors can use catheter procedures to close secundum ASDs. These are the most common type of ASD.
                
Before a catheter procedure, your child is given medicine so he or she will sleep and not feel any pain. Then, the doctor inserts a catheter (a thin, flexible tube) into a vein in the groin (upper thigh). He or she threads the tube to the heart's septum. A device made up of two small disks or an umbrella-like device is attached to the catheter.
                
When the catheter reaches the septum, the device is pushed out of the catheter. The device is placed so that it plugs the hole between the atria. It's secured in place and the catheter is withdrawn from the body.
                
Within 6 months, normal tissue grows in and over the device. The closure device does not need to be replaced as the child grows.
                
Doctors often use echocardiography (echo), transesophageal (tranz-ih-sof-uh-JEE-ul) echo (TEE), and coronary angiography (an-jee-OG-rah-fee) to guide them in threading the catheter to the heart and closing the defect. TEE is a special type of echo that takes pictures of the heart through the esophagus. The esophagus is the passage leading from the mouth to the stomach.
                
Catheter procedures are much easier on patients than surgery. They involve only a needle puncture in the skin where the catheter is inserted. This means that recovery is faster and easier.
                
The outlook for children having this procedure is excellent. Closures are successful in more than 9 out of 10 patients, with no major leakage. Rarely, a defect is too large for catheter closure and surgery is needed.
                
Surgery
                
Open-heart surgery generally is done to repair primum or sinus venosus ASDs. Before the surgery, your child is given medicine so he or she will sleep and not feel any pain.
                
Then, the cardiac surgeon makes an incision (cut) in the chest to reach the ASD. He or she repairs the defect with a special patch that covers the hole. A heart-lung bypass machine is used during the surgery so the surgeon can open the heart. The machine takes over the heart's pumping action and moves blood away from the heart.
                
The outlook for children who have ASD surgery is excellent. On average, children spend 3 to 4 days in the hospital before going home. Complications, such as bleeding and infection, are very rare.
                
In some children, the outer lining of the heart may become inflamed. This condition is called pericarditis (PER-i-kar-DI-tis). The inflammation causes fluid to collect around the heart in the weeks after surgery. Medicine usually can treat this condition.
                
While in the hospital, your child will be given medicine as needed to reduce pain or anxiety. The doctors and nurses at the hospital will teach you how to care for your child at home.
                
They will talk about preventing blows to the chest as the incision heals, limiting activity while your child recovers, bathing, scheduling ongoing care, and deciding when your child can go back to his or her regular activities.
                
Treating a Ventricular Septal Defect
                
Doctors may choose to monitor children who have ventricular septal defects (VSDs) but no symptoms of heart failure. This means regular checkups and tests to see whether the defect closes on its own or gets smaller.
                
More than half of VSDs eventually close, usually by the time children are in preschool. Your child's doctor will let you know how often your child needs checkups. Checkups may range from once a month to once every 1 or 2 years.
                
If treatment for a VSD is required, options include extra nutrition and surgery to close the VSD. Doctors also can use catheter procedures to close some VSDs. They may use this approach if surgery isn't possible or doesn't work. More research is needed to find out the risks and benefits of using catheter procedures to treat VSDs.
                
Extra Nutrition
                
Some infants who have VSDs don't grow and develop or gain weight as they should. These infants usually:
                
Have large VSDs
                
Are born too early
                
Tire easily during feeding
                
Doctors usually recommend extra nutrition or special feedings for these infants. These feedings are high-calorie formulas or breast milk supplements that give babies extra nourishment.
                
Some infants need tube feeding. A small tube is inserted into the mouth and moved down into the stomach. Food is given through the tube.
                
Tube feeding can add to or take the place of bottle feeding. This treatment often is short-term because a VSD that causes symptoms will likely require surgery.
                
Surgery
                
Most doctors recommend surgery to close large VSDs that are causing symptoms, affecting the aortic valve, or haven't closed by the time children are 1 year old. Surgery may be needed earlier if:
                
A child doesn't gain weight
                
Medicines are needed to control the symptoms of heart failure
                
Rarely, medium-sized VSDs that are causing enlarged heart chambers are treated with surgery after infancy. However, most VSDs that require surgery are repaired in the first year of life. Doctors use open-heart surgery and patches to close VSDs."
Holoprosencephaly,There is no standard course of treatment for holoprosencephaly. Treatment is symptomatic and supportive.
Holt-Oram syndrome,"How might Holt-Oram syndrome be treated? The treatment of Holt-Oram syndrome is directed toward the specific symptoms that are apparent in each individual. Treatment may require the coordinated efforts of a team of specialists such as pediatricians, surgeons, cardiologists, orthopedists, and/or other health care professionals. Depending upon the severity of any upper limb abnormalities, treatment may consist of corrective or reconstructive surgery, the use of artificial replacements for portions of the forearms and hands (limb prosthetics), and/or physical therapy to help individuals enhance their motor skills. In those with mild cardiac conduction abnormalities, treatment may not be required. In more severe cases, an artificial pacemaker may be used. An artificial pacemaker overrides the heart's impaired electrical conducting system by sending electrical impulses to the heart that keep the heartbeat at a regular rate. Heart abnormalities may also be treated with certain medications, surgery, and/or other techniques. In such cases, the surgical procedures performed will depend upon the location and severity of the abnormalities and their associated symptoms. Affected individuals with heart defects may also be at risk for bacterial infection and inflammation of the lining of the heart's chambers and valves (endocarditis). So antibiotics should be prescribed before any surgical procedure, including dental procedures such as tooth extractions. In addition, because some individuals with certain heart defects may be susceptible to repeated respiratory infections, physicians may closely monitor such individuals to take preventive steps and to institute antibiotic and/or other appropriate therapies should such infections occur. Early intervention is important to ensure that children with Holt-Oram syndrome reach their potential. Special services that may be beneficial to affected children may include physical therapy and/or other medical, social, and/or vocational services."
Human T-cell leukemia virus type 1,"How might human T-cell leukemia virus, type 1 be treated?  No cure or treatment exists for human T-cell leukemia virus, type 1 (HTLV-1). Management is focused on early detection and preventing the spread of HTLV-1 to others. Screening blood doners, promoting safe sex and discouraging needle sharing can decrease the number of new infections. Mother-to-child transmission can be reduced by screening pregnant women so infected mothers can avoid breastfeeding."
Human T-cell leukemia virus type 2,"How might human T-cell leukemia virus, type 2 be treated? No cure or treatment exists for human T-cell leukemia virus, type 2 (HTLV-2). Management is focused on early detection and preventing the spread of HTLV-2 to others. Screening blood doners, promoting safe sex and discouraging needle sharing can decrease the number of new infections. Mother-to-child transmission can be reduced by screening pregnant women so infected mothers can avoid breastfeeding."
Huntington disease,"How might Huntington disease be treated? Unfortunately, there is currently no cure for Huntington disease (HD). The current goal of treatment is to slow down the course of the disease and help affected people function for as long and as comfortably as possible. Current treatment strategies involve the use of various medications to treat specific symptoms such as abnormal movements and behaviors. Depression and suicide are more common among affected people, so caregivers should monitor for associated symptoms and seek help if necessary. As symptoms of the disease worsen, affected people need more assistance, supervision, and care."
Huntington's Disease,"There is no treatment that can stop or reverse the course of HD. Tetrabenazine is prescribed for treating Huntingtons-associated chorea. It is the only drug approved by the U.S. Food and Drug Administration specifically for use against HD. Antipsychotic drugs may help to alleviate chorea and may also be used to help control hallucinations, delusions, and violent outbursts. Drugs may be prescribed to treat depression and anxiety. Drugs used to treat the symptoms of HD may have side effects such as fatigue, sedation, decreased concentration, restlessness, or hyperexcitability, and should be only used when symptoms create problems for the individual."
Hydranencephaly,"How might hydranencephaly be treated? Unfortunately, there is no definitive treatment for hydranencephaly. Management of the condition typically focuses on the specific signs and symptoms present in the affected individual and is mostly supportive. Hydrocephalus (the buildup of too much cerebral spinal fluid in the brain) may be treated with a shunt (a surgically implanted tube that helps to drain fluid from the brain).There is no definitive treatment for hydranencephaly. Treatment is symptomatic and supportive. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another)."
Hydrocephalus,"Hydrocephalus is most often treated with the surgical placement of a shunt system. This system diverts the flow of CSF from a site within the central nervous system to another area of the body where it can be absorbed as part of the circulatory process. A limited number of individuals can be treated with an alternative procedure called third ventriculostomy. In this procedure, a small hole is made in the floor of the third ventricle, allowing the CSF to bypass the obstruction and flow toward the site of resorption around the surface of the brain."
Hydrocephalus due to congenital stenosis of aqueduct of sylvius,"How might hydrocephalus due to congenital stenosis of aqueduct of sylvius be treated? The treatment of hydrocephalus due to congenital stenosis of aqueduct of sylvius (HSAS) is based on the signs and symptoms present in each person. For example, hydrocephalus is typically treated with shunt surgery. Special education and early intervention may be recommended for children with intellectual disability. Although intervention is rarely necessary for adducted thumbs (bent towards the palms), tendon transfer surgery or splinting may be suggested in some cases."
Hydromyelia,"Generally, physicians recommend surgery for children with hydromyelia if they have moderate or severe neurological deficits. Surgical treatment re-establishes the normal flow of spinal fluid."
Hyper-IgD syndrome,"How might hyper IgD syndrome be treated? There is no cure for hyper IgD syndrome and currently no established treatment.  Management is focused on supportive care. Some patients have responded to high-dose prednisone. Simvastatin, Anakinria (an IL-1 receptor antagonist) and TNF inhibitors have recently shown some success in controlling inflammatory attacks.   Consultations with the following specialists may be helpful: dermatologist, rheumatologist, and infectious disease specialist (to evaluate periodic fever)."
Hyperprolinemia type 2,"How might hyperprolinemia type 2 be treated? There is no specific treatment for hyperprolinemia type 2, even for those individuals who experience seizures. In general, if people with hyperprolinemia type 2 have symptoms, they are usually mild and do not require treatment. If seizures are present during childhood, they tend to disappear in adulthood. Attempts to reduce the amount of proline in an affected person's diet have resulted in only modest control of proline levels in the blood and have not reduced symptoms."
Hypersensitivity Pneumonitis,"The best way to treat hypersensitivity pneumonitis (HP) is to avoid the antigen that caused it. (An antigen is a substance that your body reacts against, such as molds, dusts, and chemicals.)
                
In acute (short-term) HP, symptoms usually go away once you're no longer in contact with the antigen. In chronic (ongoing) HP, you may need medicines to relieve your symptoms.
                
People who have chronic HP may develop pulmonary fibrosis. This is a condition in which tissue deep in your lungs becomes scarred over time. People who have this condition may need further treatment, such as oxygen therapy and pulmonary rehabilitation (rehab).
                
Avoiding Antigens
                
Once the antigen that caused the HP and its source are found, you can take steps to avoid it. If HP is caught early, avoiding the antigen may be the only treatment you need.
                
Avoiding an antigen may be easier at home than at work. For example, if your pet bird, moldy carpet, or hot tub is the source of the antigen, you can remove it from your home. If your heating system is the source of the antigen, you can have your system properly serviced.
                
However, if the antigen is at work, you may need to talk with your supervisor about your condition and ways to protect yourself. For example, masks or personal respirators may help protect you from antigens in the air. (A personal respirator is a device that helps filter the air you breathe in.)
                
Some people who have HP may need to move to a different home or change jobs to avoid antigens. After hurricanes, for example, some people have to move from their homes to avoid molds that could harm their lungs. However, moving and changing jobs sometimes isn't possible.
                
Medicines and Other Treatments
                
If you have chronic HP, your doctor may prescribe medicines called corticosteroids. These medicines reduce lung inflammation. Prednisone is an example of a corticosteroid.
                
Long-term use of prednisone, especially at high doses, can cause serious side effects. Thus, if your doctor prescribes this medicine, he or she may reduce the dose over time.
                
Examples of side effects from corticosteroids are increased risk of infections, high blood pressure, high blood sugar, and osteoporosis (thinning of the skin and bones).
                
People who develop pulmonary fibrosis may need medicines, oxygen therapy, and/or pulmonary rehab. Pulmonary fibrosis is a condition in which tissue deep in your lungs becomes scarred over time.
                
If you smoke, try to quit. Smoking can make HP symptoms worse and lead to other lung diseases. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke."
Hypersomnia,"Treatment is symptomatic in nature. Stimulants, such as amphetamine, methylphenidate, and modafinil, may be prescribed. Other drugs used to treat hypersomnia include clonidine, levodopa, bromocriptine, antidepressants, and monoamine oxidase inhibitors. Changes in behavior (for example avoiding night work and social activities that delay bed time) and diet may offer some relief. Patients should avoid alcohol and caffeine."
Hyperthyroidism,"Health care providers treat hyperthyroidism with medications, radioiodine therapy, or thyroid surgery. The aim of treatment is to bring thyroid hormone levels to a normal state, thus preventing long-term complications, and to relieve uncomfortable symptoms. No single treatment works for everyone.
                
Treatment depends on the cause of hyperthyroidism and how severe it is. When choosing a treatment, health care providers consider a patients age, possible allergies to or side effects of the medications, other conditions such as pregnancy or heart disease, and the availability of an experienced thyroid surgeon.
                
Finding the right specialist for treatment is an important first step. Some professional societies, listed under For More Information, and endocrinology departments in local teaching hospitals can provide the names of local specialists.
                
Medications
                
Beta blockers. Health care providers may prescribe a medication called a beta blocker to reduce symptoms until other treatments take effect. Beta blockers act quickly to relieve many of the symptoms of hyperthyroidism, such as tremors, rapid heartbeat, and nervousness, but do not stop thyroid hormone production. Most people feel better within hours of taking these medications.
                
Antithyroid medications. Antithyroid therapy is the easiest way to treat hyperthyroidism. Antithyroid medications interfere with thyroid hormone production but dont usually have permanent results. Antithyroid medications are not used to treat thyroiditis.
                
Once treatment with antithyroid medications begins, thyroid hormone levels may not move into the normal range for several weeks or months. The average treatment time is about 1 to 2 years, but treatment can continue for many years.
                
Antithyroid medications can cause side effects in some people, including
                
- allergic reactions such as rashes and itching  - a decrease in the number of white blood cells in the body, which can lower resistance to infection  - liver failure, in rare cases
                
Stop your antithyroid medication and call your health care provider right away if you develop any of the following while taking antithyroid medications:   - fatigue   - weakness   - vague abdominal pain   - loss of appetite   - skin rash or itching   - easy bruising   - yellowing of the skin or whites of the eyes, called jaundice   - persistent sore throat   - fever
                
In the United States, health care providers prescribe the antithyroid medication methimazole (Tapazole, Northyx) for most types of hyperthyroidism.
                
Antithyroid medications and pregnancy. Because pregnant and breastfeeding women cannot receive radioiodine therapy, they are usually treated with an antithyroid medication instead. However, experts agree that women in their first trimester of pregnancy should not take methimazole due to the rare occurrence of damage to the fetus. Another antithyroid medication, propylthiouracil (PTU), is available for women in this stage of pregnancy or for women who are allergic to or intolerant of methimazole and have no other treatment options.
                
Health care providers may prescribe PTU for the first trimester of pregnancy and switch to methimazole for the second and third trimesters. Some women are able to stop taking antithyroid medications in the last 4 to 8 weeks of pregnancy due to the remission of hyperthyroidism that occurs during pregnancy. However these women should continue to be monitored for recurrence of thyroid problems following delivery.
                
Studies have shown that mothers taking antithyroid medications may safely breastfeed. However, they should take only moderate doses, less than 1020 milligrams daily, of the antithyroid medication methimazole. Doses should be divided and taken after feedings, and the infants should be monitored for side effects.4
                
Women requiring higher doses of the antithyroid medication to control hyperthyroidism should not breastfeed.
                
Radioiodine Therapy
                
Radioactive iodine-131 is a common and effective treatment for hyperthyroidism. In radioiodine therapy, patients take radioactive iodine-131 by mouth. Because the thyroid gland collects iodine to make thyroid hormone, it will collect the radioactive iodine from the bloodstream in the same way. The radioactive iodine gradually destroys the cells that make up the thyroid gland but does not affect other body tissues.
                
More than one round of radioiodine therapy may be needed to bring thyroid hormone production into the normal range. In the meantime, treatment with beta blockers can control symptoms.
                
Almost everyone who receives radioactive iodine treatment eventually develops hypothyroidism. But health care providers consider this an acceptable outcome because hypothyroidism is easier to treat and has fewer long-term complications than hyperthyroidism. People who develop hypothyroidism must take synthetic thyroid hormone.
                
Radioiodine and pregnancy. Although iodine-131 is not known to cause birth defects or infertility, radioiodine therapy is not used in pregnant women or women who are breastfeeding. Radioactive iodine can be harmful to the fetus thyroid and can be passed from mother to child in breast milk. Experts recommend that women wait a year after treatment before becoming pregnant.
                
Thyroid Surgery
                
The least-used treatment is surgery to remove part or most of the thyroid gland. Sometimes surgery may be used to treat
                
- pregnant women who cannot tolerate antithyroid medications  - people with large goiters  - people who have cancerous thyroid nodules, though hyperthyroidism does not cause cancer
                
Before surgery, the health care provider may prescribe antithyroid medications to temporarily bring a patients thyroid hormone levels into the normal range. This presurgical treatment prevents a condition called thyroid storma sudden, severe worsening of symptomsthat can occur when hyperthyroid patients have general anesthesia.
                
When part of the thyroid is removedas a treatment for toxic nodules, for examplethyroid hormone levels may return to normal. But some surgical patients may still develop hypothyroidism and need to take synthetic thyroxine, a medication that is identical to the hormone, T4, made by the thyroid. If the entire thyroid is removed, lifelong thyroid hormone medication is necessary. After surgery, health care providers will continue to monitor patients thyroid hormone levels.
                
Although uncommon, certain problems can occur in thyroid surgery. The parathyroid glands can be damaged because they are located very close to the thyroid. These glands help control calcium and phosphorus levels in the body. Damage to the laryngeal nerve, also located close to the thyroid, can lead to voice changes or breathing problems. But when surgery is performed by an experienced surgeon, less than 1 percent of patients have permanent complications.5 People who need help finding a surgeon can contact one of the organizations listed under For More Information."
Hypertonia,"Muscle relaxing drugs such as baclofen, diazepam, and dantrolene may be prescribed to reduce spasticity. All of these drugs can be taken by mouth, but baclofen may also be injected directly into the cerebrospinal fluid through an implanted pump. Botulinum toxin is often used to relieve hypertonia in a specific area of the body because its effects are local, not body-wide. People with hypertonia should try to preserve as much movement as possibly by exercising within their limits and using physical therapy.
                
Drugs that affect the dopamine system (dopamine is a chemical in the brain) such as levodopa/carbidopa, or entacapone, are often used to treat the rigidity associated with Parkinson's disease."
Hypoaldosteronism,How might hypoaldosteronism be treated? Treatment for hypoaldosteronism depends on the underlying condition. Affected individuals are often advised to follow a low-potassium diet with liberal sodium intake. People with hypoaldosteronism should typically avoid ACE inhibitors and potassium-sparing diuretics. Individuals with hypoaldosteronism and a deficiency of adrenal glucocorticoid hormones are usually given fludrocortisone. People with hyporeninemic hypoaldosteronism are frequently given furosemide to correct hyperkalemia.
